last_name,num_lastnames
KILMER,5
TEMPLE,4
NOLTE,4
BERRY,3
GARLAND,3
ZELLWEGER,3
HOPKINS,3
HARRIS,3
DAVIS,3
ALLEN,3
KEITEL,3
WILLIS,3
DEGENERES,3
JOHANSSON,3
PECK,3
TORN,3
AKROYD,3
HOFFMAN,3
WILLIAMS,3
GUINESS,3
DEE,2
JACKMAN,2
PALTROW,2
CAGE,2
MOSTEL,2
BENING,2
BAILEY,2
DENCH,2
SILVERSTONE,2
CRONYN,2
PENN,2
WEST,2
TRACY,2
MCQUEEN,2
TANDY,2
DEAN,2
OLIVIER,2
HACKMAN,2
WAHLBERG,2
MONROE,2
DUKAKIS,2
MCCONAUGHEY,2
STREEP,2
CRAWFORD,2
HOPPER,2
WINSLET,2
BOLGER,2
GOODING,2
NEESON,2
FAWCETT,2
MCKELLEN,2
DEPP,2
WOOD,2
CHASE,2
BRODY,2
VOIGHT,1
MIRANDA,1
TAUTOU,1
BARRYMORE,1
DREYFUSS,1
MARX,1
STALLONE,1
ASTAIRE,1
REYNOLDS,1
CRUZ,1
PHOENIX,1
COSTNER,1
WILSON,1
WALKEN,1
BLOOM,1
GOLDBERG,1
TOMEI,1
DUNST,1
MCDORMAND,1
SUVARI,1
LOLLOBRIGIDA,1
JOLIE,1
PITT,1
HUDSON,1
WITHERSPOON,1
CHAPLIN,1
HESTON,1
BRIDGES,1
GRANT,1
NICHOLSON,1
BERGMAN,1
GABLE,1
BALL,1
DERN,1
MANSFIELD,1
SOBIESKI,1
PRESLEY,1
CRUISE,1
HURT,1
PFEIFFER,1
WRAY,1
CLOSE,1
HOPE,1
BULLOCK,1
BIRCH,1
GIBSON,1
BASINGER,1
BACALL,1
LEIGH,1
RYDER,1
DAMON,1
PINKETT,1
CARREY,1
HAWKE,1
WAYNE,1
BERGEN,1
SWANK,1
BALE,1
MALDEN,1
SINATRA,1
DAY-LEWIS,1
JOVOVICH,1
POSEY,1
CROWE,1
HUNT,1
PESCI,1
